Genre,TotalScore,Album Count
chaotic hardcore,189,28
melodic hardcore,117,18
metalcore,21,4
pop rock,86,13
swedish electropop,57,9
swedish synth,5,1
swedish synthpop,51,8
emo punk,25,4
small room,30,5
latin viral pop,8,2
rap latina,8,2
reggaeton,25,5
wrestling,8,2
ambient black metal,30,5
edm,40,7
sacramento indie,56,9
canadian post-rock,19,3
instrumental post-rock,41,7
danish metal,12,2
rune folk,12,2
hardvapour,7,1
australian alternative rock,31,4
toronto indie,35,5
grave wave,95,15
neo-synthpop,159,28
witch house,26,4
deep house,13,2
palm desert scene,15,2
shimmer pop,250,44
experimental folk,8,1
experimental psych,15,2
newcastle indie,8,1
breakcore,7,1
drill and bass,47,7
french metal,20,3
avant-rock,14,2
atlanta indie,56,8
dub metal,15,2
math rock,110,16
noise punk,45,6
brutal death metal,65,9
deathgrind,84,12
technical death metal,63,9
deep underground hip hop,16,3
bassline,6,1
seattle indie,42,5
new french touch,15,2
vapor soul,14,2
21st century classical,17,3
american 21st century classical,10,2
indie surf,111,20
popgaze,49,7
classic rock,56,9
progressive rock,30,5
symphonic rock,24,4
bass music,211,32
vapor house,8,1
pixie,8,2
pop emo,7,1
reading indie,4,1
powerviolence,54,8
edmonton indie,35,6
soundtrack,29,4
aussie emo,5,1
australian garage punk,25,4
trap soul,39,7
latin hip hop,17,3
trap latino,17,3
tropical,17,3
progressive metal,54,10
progressive sludge,58,9
afro psych,15,2
afro-funk,15,2
chicha,16,2
cumbia,16,2
folclor afrocolombiano,16,2
latin afrobeat,31,4
nu-cumbia,16,2
epic doom,21,3
crossover thrash,57,9
new wave of thrash metal,36,5
speed metal,70,10
thrash metal,62,9
austindie,21,3
british folk,19,3
british singer-songwriter,19,3
mandible,23,4
nottingham indie,21,3
swedish indie pop,38,6
swedish singer-songwriter,51,7
twee pop,61,9
virginia metal,15,3
virginia punk,6,1
sound art,7,1
okc indie,11,2
psychedelic rock,57,10
downtempo,136,22
uk alternative hip hop,15,3
brighton indie,39,6
old school thrash,11,2
disco house,31,5
electro house,37,7
filter house,79,12
jazz rap,22,3
danish alternative rock,43,6
dutch indie rock,15,2
goregrind,50,7
grindcore,60,9
singaporean metal,15,2
funk metal,20,4
omaha indie,13,2
american metalcore,15,2
new jersey punk,15,2
bitpop,29,5
diy emo,8,1
punk,69,14
belgian black metal,4,1
belgian metal,4,1
blackened hardcore,4,1
neo-crust,11,2
indie poptimism,28,5
lilith,29,5
eau claire indie,11,2
atmospheric post-metal,15,2
chicago indie,40,6
gauze pop,6,1
athens indie,31,5
e6fi,44,7
alternative americana,38,6
acoustic punk,18,3
digital hardcore,15,3
nintendocore,30,5
ska punk,8,2
skate punk,32,7
synth punk,21,3
underground rap,63,9
canadian modern jazz,31,4
australian dance,31,5
big beat,26,4
funk rock,16,3
no wave,66,9
post-punk,108,16
lo star,8,1
australian electropop,20,4
canadian pop punk,6,1
finnish metal,8,1
folk metal,14,2
greek metal,8,1
melodic death metal,8,1
symphonic black metal,56,9
viking metal,22,3
black 'n' roll,47,7
black thrash,67,10
norwegian metal,55,9
norwegian rock,28,4
transpop,6,1
jazz metal,66,10
quebec death metal,16,2
progressive thrash,16,2
technical thrash,22,3
oxford indie,41,7
nashville singer-songwriter,8,1
alt-idol,6,1
comic metal,6,1
idol rock,6,1
j-metal,6,1
kawaii metal,6,1
american post-rock,22,4
cinematic post-rock,9,2
iranian experimental,14,2
canadian psychedelic rock,13,2
space rock,51,8
bass trap,6,1
brostep,23,4
electronic trap,32,5
vapor twitch,77,12
glam rock,30,4
protopunk,25,4
cosmic black metal,13,2
finnish black metal,13,2
finnish psychedelic rock,13,2
sci-fi metal,26,4
sudanese pop,5,1
comic,29,5
glitch,101,15
queercore,8,1
baton rouge rap,7,1
heartland rock,23,4
barbadian pop,4,1
quiet storm,12,2
colombian rock,7,1
latintronica,7,1
phonk,18,3
contemporary post-bop,15,2
cool jazz,15,2
jazz,15,2
jazz fusion,15,2
jazz trumpet,7,1
new orleans jazz,7,1
orgcore,29,5
indie pop rap,13,3
british soul,26,4
canadian electropop,22,4
stl indie,3,1
hardcore,3,1
harp,8,1
madchester,18,3
new romantic,18,3
new wave,37,7
new wave pop,19,3
synthpop,18,3
uk post-punk,20,3
channel pop,6,1
skramz,22,3
uk dance,13,2
san diego indie,18,3
new jersey rap,5,1
instrumental math rock,26,4
modern southern rock,7,1
roots americana,7,1
nwobhm,12,2
popping,7,1
footwork,39,6
ghettotech,7,1
breakbeat,7,1
rave,7,1
swedish hardcore,4,1
swedish post-hardcore,4,1
vegan straight edge,4,1
battle rap,12,2
neo mellow,12,3
canadian hardcore,20,3
canadian post-hardcore,15,2
sludgecore,15,2
dreamo,15,3
scottish electronic,28,5
future garage,117,18
laboratorio,14,2
tzadik,19,3
australian r&b,5,1
albany ny indie,7,1
bow pop,28,4
alabama rap,8,2
alabama indie,8,1
abstract,25,4
electro,45,7
derby indie,5,1
jazz quartet,11,2
new tribe,11,2
nu jazz,32,5
experimental black metal,30,4
depressive black metal,19,3
boston indie,14,2
harlem hip hop,5,1
soul flow,26,4
romanian metal,5,1
slavic metal,5,1
avant-garde jazz,27,4
free improvisation,14,2
free jazz,14,2
classic soundtrack,7,1
horror synth,7,1
chicano punk,14,2
scottish indie,12,2
scottish rock,12,2
alternative pop,26,4
olympia wa indie,7,1
minnesota hip hop,10,2
show tunes,6,1
new isolationism,19,3
techno,27,4
bmore,7,2
hip house,5,1
modern hard rock,5,1
uk doom metal,17,3
glitch hop,59,9
jazztronica,44,6
chicago punk,6,1
gbvfi,44,7
zolo,17,3
vermont indie,13,2
dubstep,36,6
big room,12,2
complextro,17,3
moombahton,5,1
progressive electro house,5,1
j-idol,27,4
brutal deathcore,4,1
djent,26,5
technical brutal death metal,11,2
technical deathcore,9,2
antiviral pop,7,1
comedy rock,7,1
parody,7,1
canadian electronic,7,1
progressive house,7,1
australian pop,13,2
norwegian black metal,34,6
icelandic classical,5,1
louisiana metal,13,2
nu disco,53,8
swedish pop,6,1
black sludge,6,1
turntablism,7,1
canadian black metal,8,1
chicago drill,11,2
mathgrind,8,1
balearic,14,2
norwegian space disco,6,1
cleveland indie,20,3
leeds indie,14,2
grand rapids indie,15,2
british black metal,13,2
dutch black metal,14,2
british post-rock,22,3
cosmic post-rock,22,3
gainesville indie,5,1
focus,7,1
neo-classical,14,2
neoclassical,7,1
ebm,7,1
electro-industrial,7,1
uk noise rock,8,1
destroy techno,5,1
norwegian alternative rock,6,1
experimental indie,13,2
blackened crust,18,3
ethereal wave,13,2
icelandic rock,13,2
nordic post-rock,13,2
portland metal,22,3
deathcore,22,4
melodic deathcore,13,2
progressive deathcore,13,2
slamming deathcore,13,2
deep gothic post-punk,13,2
grunge,25,4
straight edge,7,1
uk garage,5,1
electrofox,6,1
chiptune,6,1
indie game soundtrack,6,1
irish metal,9,1
norwegian experimental,7,1
swedish indie rock,14,2
melodic metalcore,16,4
uk metalcore,4,1
electroclash,21,4
belgian experimental,7,1
dreamgaze,7,1
deep idm,13,2
norwegian death metal,11,2
experimental ambient,7,1
jersey club,8,1
vogue,8,1
western mass indie,6,1
deep indie rock,8,1
british math rock,7,1
slayer,5,1
swedish doom metal,5,1
american choir,7,1
choral,7,1
modern performance,7,1
vocal ensemble,7,1
classic uk pop,7,1
wu fam,6,1
dc hardcore,3,1
nyhc,3,1
dc indie,8,1
action rock,7,1
swedish psychedelic rock,5,1
minimal,14,2
dark post-punk,4,1
jazz trio,8,1
modern jazz trio,8,1
danish indie,5,1
uk americana,6,1
power pop,13,2
experimental bass,7,1
outsider,7,1
bedroom pop,5,1
black noise,7,1
classic canadian rock,11,2
dark black metal,30,4
french black metal,13,2
motown,6,1
german metal,5,1
german thrash metal,5,1
melodic thrash,5,1
deep melodic euro house,8,1
deep techno,8,1
vancouver punk,5,1
banda,6,1
corrido,6,1
deep regional mexican,6,1
duranguense,6,1
grupera,6,1
norteno,6,1
regional mexican,6,1
regional mexican pop,6,1
miami metal,15,2
blues,7,1
electric blues,7,1
jazz blues,7,1
louisiana blues,7,1
new orleans blues,7,1
piano blues,7,1
technical groove,6,1
el paso indie,7,1
albuquerque indie,11,2
portland indie,5,1
nwothm,8,1
retro metal,15,2
denver indie,4,1
american shoegaze,5,1
canadian folk,5,1
canadian singer-songwriter,10,2
british indie rock,5,1
jangle pop,6,1
ohio indie,6,1
progressive black metal,8,1
chillhop,6,1
japanese chillhop,6,1
polish ambient,7,1
polish experimental electronic,7,1
c86,22,3
garage punk,6,1
florida death metal,7,1
montana indie,5,1
necrogrind,8,1
black death,8,1
k-pop girl group,12,2
alternative roots rock,7,1
geek rock,5,1
essex indie,7,1
nz metal,7,1
jam band,5,1
indie dream pop,14,2
north carolina indie,7,1
drama,6,1
latin christian,5,1
rock cristiano,5,1
old school hip hop,9,1
socal pop punk,7,1
boston hip hop,8,1
dungeon synth,10,2
melodic black metal,6,1
acoustic pop,3,1
anthem worship,3,1
ccm,3,1
christian music,3,1
indiecoustica,3,1
roots worship,3,1
world worship,3,1
worship,3,1
maine indie,7,1
afrobeat,13,2
afropop,8,1
bboy,8,1
brass band,8,1
instrumental funk,13,2
modern funk,8,1
world,8,1
hollywood,3,1
movie tunes,3,1
mashup,8,1
pittsburgh indie,8,1
atmospheric doom,8,1
abstract idm,8,1
math pop,5,1
swedish black metal,14,2
ethio-jazz,5,1
instrumental soul,5,1
abstract beats,6,1
berlin school,6,1
lund indie,8,1
birthday,6,1
