Artist,Album,Score
Lil Yatchy,Lil Boat 2,7
Logic,Bobby Tarantino II,5
Anna von Hausswolff,Dead Magic,8
Titus Andronicus,A Productive Cough,5
Andrew W.K.,You’re Not Alone,8
Tory Lanez,Memories Don’t Die,3
Turnstile,Time & Space,5
A.A.L. (Against All Logic),2012 - 2017,9
SOB x RBE,Gangin,6
Screaming Females,All at Once,8
6ix9ine,Day69,3
U.S. Girls,In a Poem Unlimited,8
Ought,Room Inside the World,6
Car Seat Headrest,Twin Fantasy (Face to Face),8
Various Artists,Black Panther The Album,6
Daymé Arocena,Cubafonía,8
MGMT,Little Dark Age,8
Tribulation,Down Below,7
Tiny Moving Parts,Swell,4
No Age,Snares Like A Haircut,7
Rich Brian,Amen,6
Justin Timberlake,Man of the Woods,3
Portal,Ion,9
Ty Segall,Freedom's Goblin,7
Migos,Culture II,4
Tune-Yards,I Can Feel You Creep Into My Private Life,5
First Aid Kit,Ruins,7
JPEGMAFIA,Veteran,8
King Gizzard & The Lizard Wizard,Gumboot Soup,7
CupcakKe,Ephorize,7
Jeff Rosenstock,Post,6
Charlie XCX,Pop 2,7
N.E.R.D.,NO_ONE EVER REALLY DIES,7
"Travis Scott, Quavo","Huncho Jack, Jack Huncho",6
Eminem,Revival,2
Chris Stapleton,From A Room: Volume 2,7
Brockhampton,Saturation III,8
"Big Sean, Metro Boomin",Double or Nothing,5
Princess Nokia,1992 Deluxe,8
Makaya McCraven,Highly Rare,7
Prurient,Rainbow Mirror,6
Ibeyi,Ash,7
Glassjaw,Material Control,6
Cyhi the Prince,No Dope on Sundays,5
Rosalía,Los Ángeles,8
Hopsin,No Shame,4
Björk,Utopia,7
Sharon Jones & The Dap-Kings,Soul of a Woman,8
King Gizzard & The Lizard Wizard,Polygonwanaland,7
Jaden Smith,SYRE,4
Armand Hammer,Rome,6
Liars,TFCF,5
Destroyer,ken,5
Yung Lean,Stranger,6
Taylor Swift,Reputation,4
Benjamin Clementine,I Tell a Fly,5
Skepta,Vicous,5
Sam Smith,The Thrill of It All,4
Converge,The Dusk in Us,8
Rina Sawayama,RINA,9
Julien Baker,Turn Out the Lights,7
"21 Savage, Offset, Metro Boomin",Without Warning,7
Weezer,Pacific Daydream,4
Big K.R.I.T.,4eva Is a Might Long Time,9
Fever Ray,Plunge,5
The World Is A Beautiful Place & I Am No Longer Afraid To Die,Always Foreign,6
Liam Gallagher,As You Were,6
"Future, Young Thug",Super Slimey,5
Primitive Man,Caustic,8
Beck,Colors,4
Gucci Mane,Mr. Davis,5
King Krule,The OOZ,4
St. Vincent,MASSEDUCATION,6
Protomartyr,Relatives in Descent,8
Trippie Redd,A Love Letter To You 2,5
Marilyn Manson,Heaven Upside Down,5
Poppy,Poppy.Computer,6
Kelela,Take Me Apart,8
Lil Pump,Lil Pump,7
Uncommon Nasa,Written at Night,8
Iglooghost,Neō Wax Bloom,8
Smokepurpp,Deadstar,6
Injury Reserve,Drive It Like It's Stolen,7
The Killers,Wonderful Wonderful,6
Wolves in the Throne Room,Thrice Woven,6
"Young Thug, Carnage",Young Martha,8
Chelsea Wolfe,Hiss Spun,7
Macklemore,Gemini,3
Godspeed You! Black Emperor,Luciferian Towers,5
Rapsody,Laila's Widsom,8
Foo Fighters,Concrete and Gold,6
Mykrur,Maredidt,6
Open Mike Eagle,Brick Body Kids Still Daydream,8
Daniel Caeser,Freudian,7
Ariel Pink,Dedicated to Bobby Jameson,8
The National,Sleep Well Beast,7
Nmesh,Pharma,7
Alex Cameron,Forced Witness,8
Corbin,Mourn,7
Alvvays,Antisocialites,8
Zola Jesus,Okovi,6
Death From Above,Outrage! Is Now,8
wifisfuneral,Boy Who Cried Wolf,7
Bicep,Bicep,7
Action Bronson,Blue Chips 7000,6
LCD Soundsystem,American Dream,6
The War on Drugs,A Deeper Understanding,5
Oh Sees,Orc,8
A$AP Mob,Cozy Tapes Vol. 2,4
Queens of the Stone Age,Villains,6
Brockhampton,Saturation II,8
XXXTentacion,17,2
Lil Uzi Vert,Luv is Rage 2,3
Grizzly Bear,Painted Ruins,6
"King Gizzard & The Lizard Wizard, Mild High Club",Sketches of Brunswick East,5
Everything Everything,A Fever Dream,6
A$ap Ferg,Still Striving,6
Brand New,Science Fiction,7
Alice Glass,Alice Glass,7
Kodak Black,Project Baby 2,5
Lil B,Black Ken,5
Richard Dawson,Peasant,8
Milo,Who Told You To Think??!!?!?!?!,7
Kesha,Rainbow,7
Igorrr,Savage Sinusoid,7
Dead Cross,Dead Cross,7
Ski Mask the Slump God,You Will Regret,6
Black Lips,Satan's Graffiti or God's Art?,7
Ugly God,The Booty Tape,5
Oxbow,Thin Black Duke,8
Dying Fetus,Wrong One to Fuck With,8
Vic Mensa,The Autobiography,6
Aminé,Good For You,5
Arcade Fire,Everything Now,4
Nine Inch Nails,Add Violence,6
Dizzee Rascal,Raskit,6
Shabazz Palaces,Quazarz vs. The Jealous Machines,5
Shabazz Palaces,Quazarz: Born on a Gangster Star,3
Integrity,"Howling, For The Nightmare Shall Consume",7
Lana Del Ray,Lust For Life,6
"Tyler,the Creator",Flower Boy,8
Pissed Jeans,Why Love Now,7
Billy Woods,Known Unknowns,8
Broken Social Scene,Hug of Thunder,7
Haim,Something to Tell You,5
21 Savage,Issa Album,3
Jay-Z,4:44,8
Guerilla Toss,GT Ultra,8
Algiers,The Underside of Power,8
Fleet Foxes,Crack Up,8
Vince Staples,Big Fish Theory,6
King Gizzard & The Lizard Wizard,Murder of the Universe,6
Elder,Reflections of a Floating World,8
Lorde,Melodrama,7
The Mountain Goats,Goths,8
The Underachievers,Renaissance,6
Young Thug,Beautiful Thugger Girls,5
Kirin J Callinan,Bravado,8
"James McAlister, Sufjan Stevens, Nico Mulhy, Bryce Dessner",Planetarium,5
Katy Perry,Witness,6
Brockhampton,Saturation,9
Beach Fossils,Somersault,5
Roger Waters,Is This the Life We Really Want?,7
alt-J,Relaxer,5
Sinjin Hawke,First Opus,8
Lil Yachty,Teenage Emotions,2
(Sandy) Alex G,Rocket,5
Forest Swords,Compassion,8
Paramore,After Laughter,7
Harry Styles,Harry Styles,4
Perfume Genius,No Shape,8
Slowdive,Slowdive,4
Full of Hell,Trumpeting Ecstasy,6
Mac DeMarco,This Old Dog,7
Logic,Everybody,5
Colin Stetson,All This I Do For Glory,7
Feist,Pleasure,8
Gorillaz,Humanz,5
The Smith Street Band,More Scared Than You Than You Are of Me,5
Gas,Narkopop,2
Timber Timbre,"Sincerely, Future Pollution",5
The Magnetic Fields,50 Song Memoir,7
Kendrick Lamar,DAMN.,7
Arca,Arca,5
Joey Bada$$,All Amerikkkan Bada$$,8
Future Islands,The Far Field,6
Father John Misty,Pure Comedy,9
Kodak Black,Painting Pictures,4
Mastodon,Emperor of Sand,4
Freddie Gibbs,You Only Live 2wice,6
GoldLink,At What Cost,5
Ibibio Sound Machine,Uyai,8
Ondatrópica,Baile Bucanero,7
Pallbearer,Heartless,8
Mount Eerie,A Crow Looked At Me,9
Remo Drive,Greatest Hits,7
Havok,Comformicide,7
Spoon,Hot Thoughts,7
Real Estate,In Mind,5
Drake,More Life,5
Rick Ross,Rather You Than Me,6
Your Old Droog,Packs,7
Laura Marling,Semper Fermina,5
Idles,Brutalism,8
Blanck Mass,World Eater,7
Charlie XCX,Number 1 Angel,7
Ed Sheeran,Divide,4
Sleaford Mods,English Tapas,7
Xiu Xiu,Forget,8
King Gizzard & The Lizard Wizard,Flying Microtonal Banana,8
Dirty Projecters,Dirty Projecters,7
Power Trip,Nightmare Logic,7
Thundercat,Drunk,6
Jens Lekman,Life Will See You Now,6
Jonwayne,Rap Album Two,7
Future,Future,5
Sun Kil Moon,Common As Light And Love Are Red Valleys Of Blood,9
Quelle Chris,"Being You Is Great, I Wish I Could Be You More Often",8
Jesca Hoop,Memories Are Now,7
Lupe Fiasco,DROGAS Light,6
Sampha,Process,8
Iron Reagan,Crossover Ministry,6
Big Sean,I Decided,6
Bedwetter,Flick Your Tongue Against Your Teeth and Describe the Present,6
Ty Segall,Ty Segall,6
Migos,Culture,7
William Basinski,A Shadow In Time,7
Neil Cicierega,Mouth Moods,9
Foxygen,Hang,7
Wiley,Godfather,8
Yucky Duster,Duster's Lament,7
Code Orange,Forever,8
The Flaming Lips,Oczy Mlody,5
The xx,I See You,6
Little Simz,Stillness In Wonderland,5
Nine Inch Nails,Not The Actual Events,8
Run the Jewels,RTJ3,8
Kid Cudi,"Passion, Pain & Demon Slayin'",4
Injury Reserve,Floss,8
Ab-Soul,Do What Thou Wilt.,7
J. Cole,4 Your Eyez Only,6
Common,Black America Again,5
Childish Gambino,"Awaken, My Love!",7
The Wytches,All Your Happy Life,6
Sleigh Bells,Jessica Rabbit,7
Czarface,a Fistful of Peril,6
The Weeknd,Starboy,5
Metallica,Hard Wired...To Self Destruct,6
Justice,Women,5
Bruno Mars,24k Magic,7
A Tribe Called Quest,We Got It from Here... Thank You 4 Your Service,9
Marching Church,Telling It Like It Is,7
Kero Kero Bonito,Bonito Generation,8
Swain,The Long Dark Blue,8
Wormrot,Voices,7
A$AP Mob,The Cozy Tapes Vol. 1: Friends,5
Korn,The Serenity of Suffering,4
D.R.A.M.,Big Baby D.R.A.M.,7
Conor Oberst,Ruminations,8
Lady Gaga,Joanne,6
The Game,1992,5
The Dillinger Escape Plan,Dissociation,7
Crying,Beyond the Fleeting Gate,8
Jeff Rosenstock,Worry,8
American Football,American Football,5
NxWorries,Yes Lawd!,7
Green Day,Revolution Radio,3
Oathbreaker,Rheia,4
Solange,A Seat At The Table,8
Banks,The Altar,5
Regina Spektor,Remember Us To Life,8
Nicolas Jaar,Sirens,6
Bon Iver,"22, A Million ",5
Danny Brown,Atrocity Exhibition,9
Neurosis,Flames Within Flames,8
Mick Jenkins,The Healing Component,5
Wilco,Schmilco,6
Preoccupations,Preoccupations,8
Touché Amoré,Stage Four,8
Street Sects,End Position,8
Mac Miller,The Divine Feminine,4
Nick Cave & The Bad Seeds,Skeleton Tree,8
M.I.A.,A.I.M.,4
clipping.,Splendor & Misery,8
Glass Animals,How To Be a Human Being,6
Isaiah Rashad,The Sun's Tirade,6
of Montreal,Innocence Reaches,5
Angel Olson,My Woman,8
Travis Scott,Birds in the Trap Sing McKnight,3
Vince Staples,Prima Donna,7
Young Thug,Jefferey,7
Carly Rae Jepsen,Emotion: Side B,8
Ka,Honor Killed the Samurai,8
AJJ,The Bible 2,5
Crystal Castles,Amnesty (I),4
Frank Ocean,Blonde/Endless,8
Thee Oh Sees,A Wierd Exits,8
Rae Sremmurd,SremmLife2,6
PartyNextDoor,P3,4
Lil Uzi Vert,The Perfect Luv Tape,3
Noname,Telefone,8
Ghoul,Dungeon Bastards,7
Descendents,Hypercaffium Spazzinate,5
2 8 1 4,Rain Temple,6
Show Me The Body,Body War,8
Bones,PaidProgramming2,7
DJ Khaled,Major Key,6
Kemba,Negus,7
Gucci Mane,Everybody Looking,6
Lil Yachty,Summer Songs 2,5
Bat For Lashes,The Bride,5
The I.L.Y's,Scum With Bounderies,8
Apathy,Handshakes With Snakes,7
Clams Casino,32 Levels,7
ScHoolboy Q,Blank Face,5
BADBADNOTGOOD,IV,7
Woods,City Sun Eater in the River of Light,7
Deerhoof,The Magic,7
The Avalanches,Wildflower,7
Logic,Bobby Tarantino,5
Blood Orange,Freetown Sound,6
case/lang/veirs,case/lang/veirs,7
Riff Raff,Peach Panther,4
Red Hot Chilli Peppers,The Getaway,5
Kodak Black,Lil Big Pac,3
Swans,The Glowing Man,9
clipping.,Wriggle,7
Jon Bellion,The Human Condition,5
Nails,You Will Never Be One of Us,8
YG,Still Brazy,8
Xenia Rubinos,Black Terry Cat,8
Joey Purps,iiiDrops,7
Olga Bell,Tempo,7
Vic Mensa,There's Alot Going On,5
The Strokes,Future Present Past,3
Flume,Skin,5
PUP,The Dream is Over,6
Moonsorrow,Jumalten Aika,8
Marissa Nadler,Strangers,8
Car Seat Headrest,Teens of Denial,8
Modern Baseball,Holy Ghost,7
Kvelertak,Nattesferd,6
Kaytranada,99.90%,6
Chance The Rapper,Coloring Book,7
ANOHNI,Hopelessness,6
Gorguts,Pleaides',8
Skepta,Konnichiwa,7
James Blake,The Colour In Everything,5
Vektor,Terminal Redux,8
Radiohead,A Moon Shaped Pool,8
Lil Uzi Vert,Lil Uzi Vert vs. The World,4
Death Grips,Bottomless Pit,9
Aesop Rock,The Impossible Kid,8
King Gizzard & The Lizard Wizard,Nonagon Infinity,8
Drake,Views,4
Xiu Xiu,Plays the Music of Twin Peaks,9
Beyonce,Lemonade,8
A$AP Ferg,Always Strive and Prosper,2
Sturgill Simpson,A Sailor's Guide To Earth,8
Spark Master Tape,Silhouete of a Sunkken City,2
Deakin,Sleep Cycle,7
PJ Harvey,The Hope Six Demolution Project,7
M83,JUNK,3
Parquet Courts,Human Preformance,7
Deftones,Gore,4
Tim Hecker,Love Streams,5
Babymetal,Metal Resistance,6
Babyfather,BBF,6
Open Mike Eagle & Paul White,Hella Personal Film Festival,7
Explosions in the Sky,The Wilderness,4
Ash Koosha,I AKA I,6
Weezer,Weezer (The White Album),8
Domo Genesis,Genesis,4
Various Artists,Southern Family,8
Black Mountain,IV,7
Zayn,Mind of Mine,4
Young Thug,Slime Season 3,5
Kano,Made In the Manor,7
The Body and Full of Hell,One Day You Will Ache Like I Ache,7
Baauer,Aa,6
Lil Yachty,Lil Boat,7
The Drones,Feelin' Kinda Free,8
Iggy Pop,Post-Pop Depression,7
Denzel Curry,Imperial,8
Flatbush Zombies,3001: A Laced Odysses,6
ORANSSI PAZUZU,Värähtelijä,7
Bas,Too High To Riot,5
Lemon Demon,Spirit Phone,8
The 1975,"I Like It When You Sleep, for You Are So Beautiful Yet So Unaware of It",4
Mr. Yote,The Terrible Tales of Scurvy Jones,7
Kendrick Lamar,untitled unmastered,8
Big Ups,Before A Million Universes,8
Wild Nothing,Life of Pause,5
Charli XCX,Vroom Vroom,8
Macklemore & Ryan Lewis,This Unruly Mess I've Made,6
Yung Lean,Warlord,3
VARIOUS ARTISTS,Space Heads,2
Matmos,Ultimate Care II,8
Nevemn,Nevemn,7
Santigold,99 Cents,7
Animal Collective,Painting With,5
