Artist,Album,Score
Action Bronson,Mr. Wonderful,5
Godspeed You! Black Emperor,"Asunder, Sweet and Other Distress",6
Sufjan Stevens,Carrie & Lowell,7
Death Grips,The Powers That B (Niggas On the Moon / Jenny Death),9
Laura Marling,Short Movie,7
Kendrick Lamar,To Pimp A Butterfly,10
Ratking,700-FILL,4
Modest Mouse,Strangers To Ourselves,5
of Montreal,Aureate Gloom,6
Lightning Bolt,Fantasy Empire,7
Clarence Clarity,No Now,8
Steven Wilson,Hand. Cannot. Erase.,6
Heems,Eat Pray Thug,4
Leviathan,Scar Sighted,8
Pile,You're Better Than This,6
Cannibal Ox,Blade of the Ronin,5
Fashawn,The Ecology,5
Swain,Heavy Dancing,7
Jeff Rosenstock,We Cool?,8
Dan Deacon,Gliss Riffer,5
Negură Bunget,TĂU,5
The Pop Group,Citizen Zombie,9
Screaming Females,Rose Mountain,6
THEESatisfaction,EarthEE,7
Adventures,Supersonic Home,7
BADBADNOTGOOD & Ghostface Killah,Sour Soul,6
Drake,"If You're Reading This, It's Too Late",8
Pond,"Man, It Feels Like Space Again",6
Your Old Droog,Kinison,8
Father John Misty,"I Love You, Honeybear",8
Open Mike Eagle,A Special Episode Of,8
Matana Roberts,Coin Coin Chapter 3: River Run Thee,6
John Carpenter,Lost Themes,7
Zs,Xe,8
Xibalba,Tierra Y Libertad,6
Mount Eerie,Sauna,6
Title Fight,Hyperview,4
Björk,Vulnicura,8
Lupe Fiasco,Tetsuo & Youth,7
Napalm Death,Apex Predator -- Easy Meat,8
Belle and Sebastian,Girls In Peacetime Want To Dance,6
Joey Bada$$,B4.DA.$$,8
Panda Bear,Panda Bear Meets the Grim Reaper,4
Sleater-Kinney,No Cities to Love,7
Viet Cong,Viet Cong,7
Death Grips,Fashion Week,7
D'Angelo and The Vanguard,Black Messiah,8
Hail Mary Mallon,Bestiary,5
OG Maco,OG Maco,7
Foo Fighters,Sonic Highways,5
Wu-Tang Clan,A Better Tomorrow,6
Full of Hell,Full of Hell & Merzbow,8
J. Cole,2014 Forest Hills Drive,6
Ghostface Killah,36 Seasons,5
The Wytches,Annabel Dream Reader,8
Various Artists,Shady XV,4
A$AP Ferg,Ferg Forever,7
Clark,Clark,6
Andy Stott,Faith In Strangers,7
Mr. Oizo,The Church,7
TVOTR,Seeds,6
I Am Your Destruction,I Am Your Destruction,7
Pink Floyd,The Endless River,6
Megaton Leviathan,Past 21: Beyond The Arctic Cell,7
Sterilizer,Sterilizer,7
Ariel Pink,Pom Pom,9
iamamiwhoami,Blue,6
Pianos Become The Teeth,Keep You,4
Dean Blunt,Black Metal,8
Azealia Banks,Broke With Expensive Taste,5
Wildbirds & Peacedrums,Rhythm,8
Kayo Dot,Coffins On Io,6
Big K.R.I.T.,Cadillactica,6
Arca,Xen,6
The World Is A Beautiful Place...,Between Bodies,5
Deerhoof,La Isla Bonita,7
Slipknot,.5: The Gray Chapter,4
Black Milk,If There's A Hell Below,6
Pharmakon,Bestial Burden,5
Botanist,VI: Flora,8
Panda Bear,Mr. Noah,6
Royal Blood,Royal Blood,5
Clockwork Indigo,Clockwork Indigo,7
Run the Jewels,Run the Jewels 2,8
Dope Body,Lifer,8
Logic,Under Pressure,6
Vince Staples,Hell Can Wait,7
Scott Walker + Sunn o))),Soused,6
Sir Michael Rocks,Banco,7
Foxygen,...And Star Power,2
Godflesh,A World Lit Only By Fire,7
My Brightest Diamond,This Is My Hand,7
Weezer,Everything Will Be Alright In The End,7
alt-J,This Is All Yours,7
Electric Wizard,Time To Die,5
Childish Gambino,STN MTN / Kauai,4
Caribou,Our Love,6
Flying Lotus,You're Dead,8
SBTRKT,Wonder Where We Land,5
Shellac,Dude Incredible,6
Iceage,Plowing Into the Field of Love,9
Thom Yorke,Tomorrow's Modern Boxes,6
Perfume Genius,Too Bright,8
Interpol,El Pintor,6
Julian Casablancas + The Voidz,Tyranny,7
Milo,A Toothpaste Suburb,5
Busdriver,Perfect Hair,8
Banks,Goddess,5
Aphex Twin,Syro,6
NehruvianDOOM,NehruvianDOOM,5
Yung Lean,Unknown Memory,4
Earth,Primitive and Deadly,6
Death From Above 1979,The Physical World,6
The Bug,Angels & Devils,6
Blonde Redhead,Barragán,6
Opeth,Pale Communion,5
Code Orange,I Am King,6
Zammuto,Anchor,6
Ty Segall,Manipulator,6
Travi$ Scott,Days Before Rodeo,3
Rustie,Green Language,3
Raury,Indigo Child,4
Pallbearer,Foundations of Burden,6
Uncommon Nasa,New York Telephone,8
Michael Cera,True That,5
Watsky,All You Can Do,4
Antemasque,Antemasque,7
Spooky Black,Leaving,5
FKA Twigs,LP1,8
Mick Jenkins,The Water[s],8
The Underachievers,Cellar Door: Terminus Ut Exordium,7
Otis Brown III,The Thought of You,7
Porter Robinson,Worlds,5
PartyNextDoor,Two,2
Spoon,They Want My Soul,7
Mellowhype,INSA,3
Kyary Pamyu Pamyu,Pikapika Fantajin,7
Common,Nobody's Smiling,6
Neil Cicierega,Mouth Sounds / Mouth Silence,8
Joyce Manor,Never Hungover Again,6
How To Dress Well,What Is This Heart?,6
Fallujah,The Flesh Prevails,4
Shabazz Palaces,Lese Majesty,5
Morrissey,World Peace is None of Your Business,5
Weird Al Yankovic,Mandatory Fun,7
Shlohmo & Jeremih,No More,5
La Roux,Trouble In Paradise,8
Panopticon,Roads To The North,8
Deadmau5,While (1 Is Less Than 2),7
Sia,1000 Forms of Fear,7
Wolves In the Throne Room,Celestite,8
Lazer/Wulf,The Beast of Left and Right,7
Wreck and Reference,Want,6
Pearls Negras,Biggie Apple,8
A Sunny Day In Glasgow,Sea When Absent,7
USA Out of Vietnam,Crashing Diseases and Incurable Airplanes,7
Apathy,Connecticut Casual,8
Mastodon,Once More 'Round the Sun,7
Ab-Soul,These Days...,5
Open Mike Eagle,Dark Comedy,8
Caustic Window,Caustic Window,6
The Soft Pink Truth,Why Do The Heathen Rage?,7
Lone,Reality Testing,3
ZelooperZ,HELP,6
Lana Del Rey,Ultraviolence,2
Bones,Garbage,6
Mayhem,Esoteric Warfare,7
Jack White,Lazaretto,5
Trap Them,Blissfucker,5
Ben Frost,A U R O R A,5
Parquet Courts,Sunbathing Animal,4
Blu,Good To Be Home,6
RiFF RAFF,NEON iCON,5
Coldplay,Ghost Stories,4
clipping.,CLPPNG,9
Eyehategod,Eyehategod,6
Sharon Van Etten,Are We There,6
Owen Pallett,In Conflict,7
Trash Talk,No Peace,5
The Roots,...And Then You Shoot Your Cousin,4
Tobacco,Ultima II Massage,8
Chromeo,White Women,5
Vallenfyre,Splinters,7
Swans,To Be Kind,10
Ibibio Sound Machine,Ibibio Sound Machine,7
Little Dragon,Nabuma Rubberband,6
The Black Keys,Turn Blue,4
Mac Miller,Faces,6
Lykke Li,I Never Learn,6
Damon Albarn,Everyday Robots,5
Andrew Jackson Jihad,Christmas Island,5
BADBADNOTGOOD,III,7
Sleaford Mods,Divide & Exit,6
Ought,More Than Any Other Day,7
Future,Honest,2
tUnE-yArDs,Nikki Nack,8
Lord Mantis,Death Mask,6
Pixies,Indie Cindy,4
John Frusciante,Enclosure,2
Pharoahe Monch,P.T.S.D.,7
Chet Faker,Built On Glass,3
The Hotelier,"Home, Like NoPlace Is There",6
Carla Bozulich,Boy,8
Thantifaxath,Sacred White Noise,8
Lil Herb,Welcome To Fazoland,7
IDYLLS,PRAYER FOR TERRENE,8
Girl Talk & Freeway,Broken Ankles,8
CunninLynguists,Strange Journey Vol. 3,7
SZA,Z,4
Todd Terje,It's Album Time,6
Ratking,So It Goes,8
Cloud Nothings,Here And Nowhere Else,6
Sisyphus,Sisyphus,7
Avey Tare's Slasher Flicks,Enter The Slasher House,5
OFF!,Wasted Years,7
Tony Molina,Dissed and Dismissed,7
Timber Timbre,Hot Dreams,8
Mø,No Mythologies To Follow,6
White Hinterland,Baby,8
Mac Demarco,Salad Days,5
Nocando,Jimmy The Burnout,6
YG,My Krazy Life,6
Wild Beasts,Present Tense,7
Onyx,Wakedafucup,7
Skrillex,Recess,5
Liars,Mess,8
Future Islands,Singles,7
Big Ups,Eighteen Hours of Static,8
Tycho,Awake,6
The War On Drugs,Lost In The Dream,7
Evian Christ,Waterfall,7
Freddie Gibbs & Madlib,Piñata,9
La Dispute,The Rooms of the House,7
Pharrell,G I R L,3
Migos,No Label II,5
Real Estate,Atlas,3
White Suns,Totem,8
Beck,Morning Phase,4
St. Vincent,St. Vincent,7
Schoolboy Q,Oxymoron,7
Temples,Sun Structures,5
Sunn O))) & Ulver,Terrestrials,6
Artificial Brain,Labyrinth Constellation,8
Sun Kil Moon,Benji,9
Angel Olsen,Burn Your Fire For No Witness,5
Xiu Xiu,Angel Guts: Red Classroom,7
Glitch Mob,Love Death Immortality,3
Step Brothers,Lord Steppington,8
Behemoth,The Satanist,9
Isaiah Rashad,Cilvia Demo,6
Young Fathers,Dead,6
Actress,Ghettoville,8
Have A Nice Life,The Unnatural World,8
An Autumn For Crippled Children,Try Not To Destroy Everything You Love,7
Indian,From All Purity,8
Mogwai,Rave Tapes,6
Against Me!,Transgender Dysphoria Blues,5
Silver Mount Zion,Fuck Off Get Free We Pour Light On Everything,8
Murmur,Murmur,8
Nils Frahm,Spaces,7
Lee Bannon,Alternate/Endings,6
Xiu Xiu,Nina,8
Calvaiire,Forceps,7
Beyoncé,Beyoncé,6
Burial,Rival Dealer,5
Hellfyre Club,Dorner vs. Tookie,7
Future Of The Left,How To Stop Your Brain In An Accident,8
Childish Gambino,Because The Internet,5
Gesaffelstein,Aleph,5
Arabrot,Arabrot,6
Hopsin,Knock Madness,3
Da Mafia 6ix,6ix Commandments,8
Quelle Chris,Ghost At The Finish Line,7
Blood Orange,Cupid Deluxe,2
Sky Ferreira,"Night Time, My Time",4
Soupcans,Parasite Brain,7
Moonface,Julia With Blue Jeans On,7
M.I.A.,Matangi,7
Daniel Avery,Drone Logic,8
Death Grips,Government Plates,6
Lady Gaga,Artpop,6
Cara Neir,"Portals To A Better, Dead World",7
Action Bronson & Party Supplies,Blue Chips 2,6
The Debauchees,Big Machines and Peculiar Beings,7
Eminem,The Marshall Mathers LP 2,7
Black Milk,No Poison No Paradise,8
Four Tet,Beautiful Rewind,7
Sisu,Blood Tears,6
Arcade Fire,Reflektor,5
Toxic Holocaust,Chemistry of Consciousness,6
Cage The Elephant,Melophobia,8
AFI,Burials,2
Shad,Flying Colours,7
Armand Hammer,Race Music,8
Cults,Static,4
Tim Hecker,Virgins,9
Oranssi Pazuzu,Valonielu,6
Melt-Banana,Fetch,9
Pusha T,My Name Is My Name,6
of Montreal,Lousy With Sylvianbriar,8
Darkside,Psychic,8
Haunted Horses,Watcher,7
Danny Brown,Old,7
Oneohtrix Point Never,R Plus Seven,6
Touché Amoré,Is Survived By,8
Drake,Nothing Was The Same,5
Bill Callahan,Dream River,8
Machinedrum,Vapor City,7
Flatbush Zombies,BetterOffDEAD,8
Kayo Dot,Hubardo,7
MGMT,MGMT,6
Crystal Stilts,Nature Noir,6
The Weeknd,Kiss Land,5
Denzel Curry,Nostalgic 64,7
Janelle Monáe,The Electric Lady,7
Factory Floor,Factory Floor,6
Holy Ghost!,Dynamics,7
Chelsea Wolfe,Pain Is Beauty,8
Nine Inch Nails,Hesitation Marks,6
Arctic Monkeys,AM,3
Dizzy Wright,The Golden Age,5
Holograms,Forever,6
Jonathan Rado,Law & Order,4
YC The Cynic,GNK,8
Gorguts,Colored Sands,8
The Underachievers,The Lords of Flatbush,5
Dawn of Midi,Dysnomia,5
King Krule,6 Feet Beneath The Moon,7
A$AP Ferg,Trap Lord,7
Earl Sweatshirt,Doris,6
Julia Holter,Loud City Song,8
No Age,An Object,6
Washed Out,Paracosm,6
TOAD,Endless Night,7
Modern Life Is War,Fever Hunting,7
Tech N9ne,Something Else,4
Dead In The Dirt,The Blind Hole,6
Candy Claws,Ceres & Calypso In The Deep Time,7
AlunaGeorge,Body Music,7
Ka,The Night's Gambit,8
Edward Sharpe & The Magnetic Zeros,Edward Sharpe & The Magnetic Zeros,3
Fuck Buttons,Slow Focus,6
Stone Titan,Scratch N' Sniff (MINI),8
letlive.,The Blackest Beautiful,5
Lycus,Tempest,7
Mariam The Believer,Blood Donation,8
Autopsy,The Headless Ritual,6
James Holden,The Inheritors,7
Jay-Z,Magna Carta... Holy Grail,6
Billy Woods,Dour Candy,7
Run The Jewels,Run The Jewels,8
Joey Bada$$,Summer Knights,7
Kyary Pamyu Pamyu,Nandacollection,8
Locrian,Return to Annihilation,6
Smith Westerns,Soft Will,8
J. Cole,Born Sinner,5
Mac Miller,Watching Movies With the Sound Off,6
Zomby,With Love,5
Melt Yourself Down,Melt Yourself Down,7
Kanye West,Yeezus,5
Jon Hopkins,Immunity,8
Mr. Muthafuckin' eXquire,Kismet,7
Young Fathers,Tape Two,8
Boards of Canada,Tomorrow's Harvest,6
Thundercat,Apocalypse,3
Laura Marling,Once I Was An Eagle,7
CX KiDTRONiK,KRAK ATTACK 2: THE BALLAD OF ELLI SKIFF,6
Disclosure,Settle,7
Queens of the Stone Age,...Like Clockwork,9
Bibio,Silver Wilkinson,7
Deafheaven,Sunbather,8
Quasimoto,Yessir Whatever,7
Baths,Obsidian,6
Travis Scott,Owl Pharaoh,3
The World Is A Beautiful Place And I Am No Longer Afraid To Die,"Whenever, If Ever",7
Classixx,Hanging Gardens,6
This Routine Is Hell,Howl,8
Anamanaguchi,Endless Fantasy,6
The National,Trouble Will Find Me,4
Daft Punk,Random Access Memories,8
The Dillinger Escape Plan,One Of Us Is The Killer,8
Co La,Moody Coup,6
Vampire Weekend,Modern Vampires of the City,7
Charli XCX,True Romance,3
The Uncluded,Hokey Fright,7
Phoenix,Bankrupt!,5
Little Women,Lung,6
Chance The Rapper,Acid Rap,6
Altar of Plagues,Teethed Glory and Injury,9
R.A. The Rugged Man,Legends Never Die,6
Savages,Silence Yourself,8
The Haxan Cloak,Excavation,8
Jenny Hval,Innocence Is Kinky,7
Iggy And The Stooges,Ready To Die,4
Colin Stetson,New History Warfare Vol. 3: To See More Light,7
Deerhunter,Monomania,6
Yeah Yeah Yeahs,Mosquito,5
Soap&Skin,"Sugarbread 7""",7
Ghostface Killah and Adrian Younge,Twelve Reasons To Die,8
Kid Cudi,Indicud,2
Kurt Vile,Wakin On A Pretty Daze,8
Phosphorescent,Muchacho,6
Thee Oh Sees,Floating Coffin,5
Ghost,Infestissumam,5
Big K.R.I.T.,King Remembered In Time,7
Makthaverskan,II,7
The Flaming Lips,The Terror,6
Bring Me The Horizon,Sempiternal,4
James Blake,Overgrown,7
The Knife,Shaking The Habitual,9
The Black Heart Rebellion,Har Nevo,7
The Mary Onettes,Hit The Waves,7
"Tyler,the Creator",Wolf,6
Wavves,Afraid of Heights,6
Lapalux,Nostalchic,7
Bonobo,The North Borders,6
Kvelertak,Meir,8
The Drones,I See Seaweed,8
KEN mode,Entrench,7
Justin Timberlake,The 20/20 Experience,5
The Game,The Next Day,7
The Strokes,Comedown Machine,5
Dope Body,Saturday,7
Nails,Abandon All Life,7
Rhye,Woman,6
Autechre,Exai,8
The Men,New Moon,4
Steven Wilson,The Raven That Refused To Sing (And Other Stories),5
Shlohmo,Laid Out,8
Czarface,Czarface,6
Darkthrone,The Underground Resistance,6
STRFKR,Miracle Mile,3
Grave Babies,Crusher,7
Clipping,Midcity,8
Atoms For Peace,Amok,7
Iceage,You're Nothing,8
Nick Cave and The Bad Seeds,Push The Sky Away,5
Beach Fossils,Clash The Truth,8
Portal,Vexovoid,5
Grouper,The Man Who Died In His Boat,7
Pissed Jeans,Honeys,7
Foals,Holy Fire,5
Veronica Falls,Waiting For Something To Happen,6
The Underachievers,Indigoism,7
My Bloody Valentine,MBV,8
Unknown Mortal Orchestra,II,7
Dumbo Gets Mad,Quantum Leap,6
Cakes Da Killa,The Eulogy,8
Tegan and Sara,Heartthrob,3
Tomahawk,Oddfellows,6
California X,California X,6
Local Natives,Hummingbird,5
Buke and Gase,General Dome,8
Comadre,Comadre,8
TTNG (This Town Needs Guns),13.0.0.0.0,7
Nosaj Thing,Home,5
Cult of Luna,Vertikal,5
Villagers,{Awayland},7
Foxygen,We Are the 21st Century Ambassadors of Peace & Magic,8
Yo La Tengo,Fade,7
Toro Y Moi,Anything In Return,4
The Progressive Era,PEEP: The aPROcalypse,8
Circles Takes the Square,Decompositions: Volume Number One,6
A$AP Rocky,Long.Live.A$AP,7
Milo,Things That Happen At Day / Things That Happen At Night,8
Lianne La Havas,Is Your Love Big Enough?,7
Burial,Truant / Rough Sleeper,8
Chief Keef,Finally Rich,4
The Game,Jesus Piece,5
Miguel,Kaleidoscope Dream,6
P.O.S,We Don't Even Live Here,5
Roomful of Teeth,Roomful of Teeth,7
Dragged Into Sunlight,Widowmaker,6
Scott Walker,Bish Bosch,7
Wu-Block,Wu-Block,6
Code Orange Kids,Love Is Love // Return To Dust,6
Heems,Wild Water Kingdom,5
Macintosh Plus,Floral Shoppe,4
Angel Olsen,Half Way Home,7
Bad Brains,Into the Future,3
Tim Hecker and Daniel Lopatin,Instrumental Tourist,5
The Evens,The Odds,8
Captain Murphy,Duality,7
Holly Herndon,Movement,7
Goat,World Music,5
Ratking,Wiki93,5
Vessel,Order of Noise,7
Action Bronson and the Alchemist,Rare Chandeliers,8
Deftones,Koi No Yokan,6
Jessica Pratt,Jessica Pratt,7
Crystal Castles,(III),4
Brian Eno,LUX,6
The Secret,Agnus Dei,5
Bat For Lashes,The Haunted Man,7
Titus Andronicus,Local Business,6
Neurosis,Honor Found In Decay,7
Pile,Dripping,8
The Soft Moon,Zeros,4
Black Moth Super Rainbow,Cobra Juicy,5
The Bad Plus,Made Possible,8
Mac DeMarco,2,6
Andy Stott,Luxury Problems,7
Hoax,3rd,6
Chelsea Wolfe,Unknown Rooms: A Collection of Acoustic Songs,7
Pig Destroyer,Book Burner,6
3:33,In the Middle of Infinity,6
Karriem Riggins,Alone Together,8
Kendrick Lamar,"good kid, m.A.A.d. city",9
Blu & Exile,Give Me My Flowers While I Can Still Smell Them,7
Between the Buried and Me,The Parallax II: Future Sequence,4
Daphni,Jiaolong,6
John Frusciante,PBX Funicular Intaglio Zone,2
Converge,All We Love We Leave Behind,8
Macklemore and Ryan Lewis,The Heist,7
Godspeed You! Black Emperor,Allelujah! Don't Bend! Ascend!,8
The Mountain Goats,Transcendental Youth,7
Tame Impala,Lonerism,8
Mellowhype,Numbers,3
METZ,METZ,6
Death Grips,NO LOVE DEEP WEB,8
Alt-J,An Awesome Wave,8
Muse,The 2nd Law,3
Efterklang,Piramida,5
Mumford & Sons,Babel,6
Flying Lotus,Until the Quiet Comes,7
Dark Time Sunshine,ANX,7
Lupe Fiasco,Food & Liquor 2: The Great American Rap Album Pt. 1,5
The Gaslamp Killer,Breakthrough,8
Title Fight,Floral Green,7
How To Dress Well,Total Loss,6
Dinosaur Jr.,I Bet On Sky,7
David Byrne & St. Vincent,Love This Giant,7
Grizzly Bear,Shields,6
Woods,Bend Beyond,7
Ondatrópica,Ondatrópica,9
Krallice,Years Past Matter,8
The xx,Coexist,4
Mount Eerie,Ocean Roar,5
Dan Deacon,America,5
Jens Lekman,I Know What Love Isn't,7
Animal Collective,Centipede Hz,6
Murder Construct,Results,8
Slaughterhouse,Welcome to: Our House,3
Holy Other,Held,6
Four Tet,Pink,7
A$AP Mob,Lord$ Never Worry,3
Swans,The Seer,8
The Faceless,Autotheism,5
Matthew Dear,Beams,8
Bloc Party,Four,7
Wild Nothing,Nocturne,8
Jessie Ware,Devotion,4
Eprom,Metahuman,7
JJ DOOM,Key to the Kuffs,6
Xibalba,Hasta La Muerte,8
2 Chainz,Based on a T.R.U. Story,4
Ariel Pink's Haunted Graffiti,Mature Themes,6
Parquet Courts,Light Up Gold,7
Niki and the Dove,Instinct,6
R. Stevie Moore,Lo Fi Hi Fives,7
Om,Advaitic Songs,5
Domo Genesis,No Idols,5
Passion Pit,Gossamer,6
Nachtmystium,Silencing Machine,8
Rick Ross,"God Forgives, I Don't",3
Guardian Alien,See the World Given to a One Love Entity,6
Purity Ring,Shrines,6
Gnaw Their Tongues,Eschatological Scatology,7
TNGHT,TNGHT,9
Mission of Burma,Unsound,6
Aesop Rock,Skelethon,7
Holograms,Holograms,8
Nas,Life Is Good,4
Wreck and Reference,No Youth,7
Baroness,Yellow and Green,7
Frank Ocean,Channel Orange,7
Twin Shadow,Confess,5
H-SIK,Cocody,7
Foxygen,Take the Kids Off Broadway,8
Dirty Projectors,Swing Lo Magellan,6
Rush,Clockwork Angels,6
Spaceghostpurrp,Mysterious Phonk: The Chronicles of SpvcxxGhxztPvrrp,5
Deathspell Omega,Drought,8
Hot Chip,In Our Heads,7
Old Man Gloom,NO,6
Ty Segall Band,Slaughterhouse,8
Ty Segall & White Fence,Hair,8
Open Mike Eagle,4NML HSPTL,7
The Smashing Pumpkins,Oceania,6
Metric,Synthetica,3
Curren$y,The Stoned Immaculate,3
Bobby Womack,The Bravest Man In the Universe,6
Fiona Apple,The Idler Wheel...,9
Joey Bada$$,1999,7
Kreator,Phantom Antichrist,5
Clams Casino,Instrumentals 2,7
iamamiwhoami,Kin,8
The Tallest Man On Earth,There's No Leaving Now,8
Recondite,On Acid,8
Liars,WIXIW,7
Neil Young & Crazy Horse,Americana,7
Japandroids,Celebration Rock,5
Black Breath,Sentenced to Life,8
Big K.R.I.T.,Live From the Underground,7
Sigur Rós,Valtari,7
El-P,Cancer for Cure,6
Cerce,Tour Sampler CD-R,7
Mount Eerie,Clear Moon,7
Best Coast,The Only Place,3
Dope Body,Natural History,9
Killer Mike,R.A.P. Music,8
Marilyn Manson,Born Villain,3
Ab-Soul,Control System,8
Squarepusher,Ufabulum,6
Beach House,Bloom,8
mewithoutYou,Ten Stories,6
B.o.B.,Strange Clouds,4
Lone,Galaxy Garden,8
OFF!,OFF!,7
Dweller On the Threshold,Dweller On the Threshold,6
Billy Woods,History Will Absolve me,8
Torche,Harmonicraft,8
White Suns,Sinews,8
Jack White,Blunderbuss,6
Battles,Dross Glop,6
Death Grips,The Money Store,10
Moonface,With Siinai: Heartbreaking Bravery,6
Quakers,Quakers,5
Spiritualized,Sweet Heart Sweet Light,8
Black Dice,Mr. Impossible,5
Lotus Plaza,Spooky Action at a Distance,6
Dr. John,Locked Down,7
Kindness,"World, You Need a Change of Mind",7
Willis Earl Beal,Acousmatic Sorcery,4
Chromatics,Kill For Love,4
BADBADNOTGOOD,BBNG2,9
High On Fire,De Vermis Mysteriis,8
Meshuggah,Koloss,6
Daniel Rossen,Silent Hour / Golden Mile,8
The Mars Volta,Noctourniquet,7
The Shins,Port of Morrow,5
THEESatisfaction,awE naturalE,8
Unsane,Wreck,7
Soap&Skin,Narrow,8
The Men,Open Your Heart,7
The Magnetic Fields,Love at the Bottom of the Sea,5
Big K.R.I.T.,4evaNaDay,8
Evian Christ,Kings and Them,6
WZRD,WZRD,3
Christian Mistress,Possession,8
Pallbearer,Sorrow and Extinction,7
Sleigh Bells,Reign of Terror,5
Perfume Genius,Put Your Back N 2 It,9
Grimes,Visions,5
Goatwhore,Blood For the Master,7
Tennis,Young & Old,4
Burial,Kindred,8
Earth,"Angels of Darkness, Demons of Light II",6
Portico Quartet,Portico Quartet,8
Lapalux,When You're Gone,6
Sharon Van Etten,Tramp,7
A Place To Bury Strangers,Onwards To The Wall,5
Shlohmo,Vacation,7
Leonard Cohen,Old Ideas,5
of Montreal,Paralytic Stalks,7
Loma Prieta,I.V.,8
John Talabot,fin,8
The Maccabees,Given to the Wild,5
Lana Del Rey,Born to Die,3
Heems,Nehru Jackets,8
Pop. 1280,The Horror,7
Lamb of God,Resolution,3
Chairlift,Something,7
Gonjasufi,MU.ZZ.LE,6
First  Aid Kit,The Lion's Roar,7
Young Fathers,Tape One,8
Schoolboy Q,Habits & Contradictions,5
Cloud Nothings,Attack On Memory,8
The Act of Estimating as Worthless,Amongst These Splintered Minds...,7
Charlie Haden & Hank Jones,Come Sunday,6
Alcest,Les voyages de l'âme,5
Zammuto,Idiom Wind,7
The Weeknd,Echoes of Silence,8
Guided by Voices,Let's Go Eat the Factory,6
The Internet,Purple Naked Ladies,4
Cass McCombs,Humor Risk,6
Cormorant,Dwellings,8
Nujabes,Spiritual State,6
Jacaszek,Glimmer,7
The Black Keys,El Camino,6
Comet Gain,Howl of the Lonely Crowd,7
Oneohtrix Point Never,Replica,8
Red Horse,Red Horse,6
Yelawolf,Radioactive,5
The Spits,The Spits,6
The Log.Os,λόγος,8
Vektor,Outer Isolation,8
Kate Bush,50 Words For Snow,7
Cynic,Carbon-Based Anatomy,7
Wale,Ambition,4
Mac Miller,Blue Slide Park,5
Crystal Stilts,Radiant Door,6
King Krule,King Krule,7
Drake,Take Care,6
Pianos Become the Teeth,The Lack Long After,6
Childish Gambino,Camp,2
Atlas Sound,Parallax,6
David Lynch,Crazy Clown Time,5
Ghoul,Transmission Zero,8
My Brightest Diamond,All Things Will Unwind,6
ASAP Rocky,LiveLoveA$AP,8
The Strange Boys,Live Music,7
Lou Reed and Metallica,Lulu,6
Oblivionized,Abhorrent Evolution,8
Milo,I Wish My Brother Rob Was Here,8
Black Milk & Danny Brown,Black & Brown,7
Justice,"Audio, Video, Disco",5
The Field,Looping State of Mind,7
Tom Waits,Bad As Me,7
M83,"Hurry Up, We're Dreaming",4
Kuedo,Severant,6
Absu,Abzu,8
Civil Civic,Rules,7
Rustie,Glass Swords,7
Feist,Metals,4
James Blake,Enough Thunder,5
La Dispute,Wildlife,8
Teenage Cool Kids,Denton After Sunset,7
Wilco,The Whole Love,7
9th Wonder,The Wonder Years,4
J. Cole,Cole World: The Sideline Story,6
BADBADNOTGOOD,BBNG,8
Mastodon,The Hunter,5
Wild Flag,Wild Flag,7
Opeth,Heritage,5
Andrew Jackson Jihad,Knife Man,8
Veronica Falls,Veronica Falls,8
Das Racist,Relax,6
Neon Indian,Era Extraña,3
St. Vincent,Strange Mercy,8
Wolves In the Throne Room,Celestial Lineage,6
The Men,Leave Home,6
Thundercat,The Golden Age of Apocalypse,8
Girls,"Father, Son, Holy Ghost",7
The Drums,Portamento,5
Shlohmo,Bad Vibes,7
Hella,Tripper,6
Lil Wayne,Tha Carter IV,3
Red Hot Chili Peppers,I'm With You,5
Giles Corey,Giles Corey,8
Apathy,Honkey Kong,7
Danny Brown,XXX,8
Active Child,You Are All I See,6
Africa Hitech,93 Million Miles,8
The War On Drugs,Slave Ambient,6
Chelsea Wolfe,Ἀποκάλυψις (Apocalypse / Apokalypsis),8
Rival Sons,Pressure & Time,7
Cerebral Ballzy,Cerebral Ballzy,3
Matana Roberts,Coin Coin Chapter One: Gens de Couleur Libres,8
Kanye West & Jay-Z,Watch the Throne,5
Beirut,The Rip Tide,6
Various Artists,Brand New Wayo,7
Hudson Mohawke,Satin Panthers,7
Machinedrum,Room(s),6
Unknown Mortal Orchestra,Unknown Mortal Orchestra,5
Disma,Towards the Megalith,9
MellowHype,BlackenedWhite,6
Little Dragon,Ritual Union,8
They Might Be Giants,Join Us,5
Portugal. The Man,In the Mountain In the Cloud,6
Toxic Holocaust,Conjure and Command,8
The Cool Kids,When Fish Ride Bicycles,4
Touche Amore,Parting the Sea Between Brightness and Me,7
Zombi,Escape Velocity,8
The Horrors,Skying,7
Washed Out,Within and Without,6
Kendrick Lamar,Section.80,8
Ulcerate,The Destroyers of All,7
Herman Dune,Strange Moosic,7
Samiyam,Sam Baker's Album,5
Shabazz Palaces,Black Up,8
Cults,Cults,4
SBTRKT,SBTRKT,8
Iceage,New Brigade,8
Bon Iver,Bon Iver,6
Bad Meets Evil,Hell: The Sequel,6
Blood Ceremony,Living With the Ancients,7
WU LYF,Go Tell Fire To The Mountain,5
Poor Lily,Poor Lily,8
Fucked Up,David Comes to Life,5
Battles,Gloss Drop,9
