Artist,Album,Score,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
Meek Mill,Championships,5,0.10066115789473684,0.6581052631578946,0.6933684210526317,3.7210526315789476e-07,0.2587315789473684,0.23942631578947368,0.38526315789473686
Soap&Skin,From Gas to Solid / You Are My Friend,4,0.7516366666666666,0.3786666666666667,0.2638833333333333,0.25898958333333333,0.11712499999999999,0.033516666666666674,0.1434
Black Thought, Salaam Remi,Streams of Thought, Vol. 2,7,0.16151111111111113,0.6419999999999999,0.7777777777777778,3.6466666666666668e-06,0.1562666666666667,0.36000000000000004,0.4828888888888889
XXXTENTACION,Skins,2,0.537201,0.6348,0.375423,0.14927403999999997,0.16046999999999997,0.18248000000000003,0.49030000000000007
Ski Mask the Slump God,Stokeley,6,0.1532153846153846,0.8394615384615386,0.5139230769230768,4.628384615384615e-05,0.17346153846153853,0.2642,0.5459230769230771
The 1975,A Brief Inquiry Into Online Relationships,6,0.40003084666666666,0.4682666666666667,0.5132666666666666,0.018795468666666666,0.1258266666666667,0.06986,0.2808
Earl Sweatshirt,Some Rap Songs,8,0.29425599999999996,0.4159333333333333,0.7425333333333334,0.03890742266666667,0.4706666666666666,0.24175333333333335,0.5894
Kai Whiston,Kai Whiston Bitch,7,0.07627272727272726,0.5857272727272728,0.8030909090909092,0.10841218181818184,0.26875454545454547,0.22144545454545456,0.3862727272727273
J.I.D,DiCaprio 2,8,0.18996928571428567,0.7004285714285714,0.6621428571428573,0.00024233785714285717,0.3061857142857143,0.33821428571428575,0.43808571428571424
6ix9ine,Dummy Boy,4,0.1225953846153846,0.7720000000000001,0.7125384615384616,1.163076923076923e-06,0.1366692307692308,0.18810769230769228,0.5407692307692308
Tyler,the Creator,Music Inspired by Illumination & Dr. Seuss' The Grinch,3,0.2670633333333333,0.6123333333333333,0.4283333333333334,0.23728288333333333,0.1368,0.07545,0.40599999999999997
Muse,Simulation Theory,5,0.2600100476190476,0.5191428571428571,0.7229999999999999,0.06065989333333334,0.2150142857142857,0.05958571428571429,0.39336666666666664
Trippie Redd,A Love Letter To You 3,7,0.13930875,0.67625,0.585125,0.0003096875,0.1472125,0.10103749999999999,0.29243749999999996
Jaden Smith,The Sunset Tapes: A Cool Tape Story,2,0.4921454545454546,0.5571818181818181,0.5258181818181819,0.14553056363636363,0.1602,0.16354545454545458,0.42045454545454547
Anderson .Paak,Oxnard,8,0.05492071428571428,0.6905714285714286,0.7098571428571431,3.0104285714285715e-05,0.2123785714285714,0.21216428571428572,0.545
Action Bronson,White Bronco,5,0.3765818181818182,0.5492727272727272,0.7566363636363636,5.790909090909091e-07,0.3747909090909091,0.30507272727272733,0.6403636363636364
Jeffrey Lewis,Works by Tuli Kupferberg (1923-2010),7,0.4846600000000001,0.4392666666666667,0.4336666666666666,0.000889934,0.16180666666666668,0.0433,0.5166666666666667
Sun Kil Moon,This Is My Dinner,6,0.8870000000000001,0.5344,0.2958,0.320894,0.1286,0.10672,0.2831
Metro Boomin,Not All Heroes Wear Capes,6,0.33579538461538466,0.7060769230769229,0.37194615384615387,0.41534987692307695,0.16221153846153843,0.16016538461538465,0.3144538461538462
Takeoff,The Last Rocket,4,0.18184999999999998,0.7875833333333335,0.628,8.174999999999999e-07,0.19785833333333336,0.21803333333333333,0.36100000000000004
Curren$y, Freddie Gibbs, The Alchemist,Fetti,7,0.26512222222222226,0.5048888888888889,0.6023333333333333,4.4577777777777774e-05,0.3018888888888889,0.2188777777777778,0.42963333333333337
Poppy,Am I a Girl?,7,0.09550857142857141,0.6303571428571428,0.6936642857142857,0.0750299457142857,0.20622857142857146,0.08171428571428573,0.46138571428571434
Rosalía,El mal querer,8,0.6872636363636364,0.601090909090909,0.3806181818181818,0.004751510909090909,0.1447909090909091,0.07229090909090909,0.3724545454545455
Vince Staples,FM!,7,0.3309545454545454,0.8283636363636364,0.6726363636363637,9.791181818181817e-05,0.36527272727272725,0.22472727272727272,0.531
Julia Holter,Aviary,8,0.08595166666666666,0.6054166666666667,0.7939999999999999,0.0003423608333333334,0.25129166666666664,0.07270833333333333,0.4535
Daughters,You Won't Get What You Want,10,0.000911876,0.43079999999999996,0.7622,0.312184844,0.33679,0.06193,0.31225
Current 93,The Light Is Leaving Us All,8,0.843,0.36399999999999993,0.3773636363636364,0.022129604545454547,0.20869090909090912,0.043954545454545454,0.23235454545454548
Kurt Vile,Bottle It In,6,0.3037361538461539,0.5740000000000001,0.6674615384615384,0.359907,0.16355384615384613,0.03171538461538462,0.5803846153846154
Joji,Ballads 1,5,0.5384166666666667,0.6040833333333334,0.4825833333333333,0.2750116666666667,0.13334166666666666,0.07145833333333333,0.32995
Lil Yatchy,Nuthin' 2 Prove,2,0.23303999999999997,0.8116666666666668,0.5420666666666666,0.008230741333333335,0.16206666666666666,0.28054,0.37041999999999997
Open Mike Eagle,What Happens When I Try To Relax,7,0.42045,0.6701666666666667,0.6671666666666667,1.2138333333333334e-05,0.14705,0.26653333333333334,0.433
Future, Juice WRLD,WRLD on Drugs,5,0.09288124999999998,0.75325,0.5079374999999999,0.0040154974999999996,0.1774125,0.27687500000000004,0.5043124999999999
High on Fire,Electric Messiah,6,3.4911111111111113e-06,0.22522222222222224,0.9716666666666666,0.8494444444444444,0.18224444444444446,0.09386666666666667,0.2598666666666667
Polyphia,New Levels New Devils,8,0.003222,0.5833,0.8291000000000002,0.610572,0.21909,0.046060000000000004,0.43290000000000006
City Morgue,Vol. 1: Hell or High Water,6,0.0620245,0.5690714285714286,0.8316428571428569,9.133000000000001e-05,0.30045714285714287,0.1731214285714286,0.3742142857142858
Quavo,Quavo Huncho,4,0.16487631578947368,0.846736842105263,0.6477368421052633,2.7839999999999998e-05,0.1778315789473684,0.2714578947368421,0.4730421052631579
Clarence Clarity,Think: Peace,7,0.2985618181818182,0.39881818181818185,0.6979090909090909,0.08818114727272727,0.3096090909090909,0.09033636363636363,0.3346909090909091
